Address,x_coord,y_coord,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
3750 W 71ST ST ,1152373.34222,1857336.28513,1920,DFSS_AgencySiteLies_2012.csv,"Appeal for Charities and
Goodwill Appeals for Charities",50 W. 71st St ,60621,6515400,,,,,,,"Appeal for Charities and
Goodwill",,,,,,,,,,,,P.A. Onsei-Bonsu,Charlotte Osei-Bonsu,,,,,,
2510 W MOFFAT ST ,1159263.87485,1912295.61538,3143,purple_binder_early_childhood.csv, Erie Neighborhood House,2510 W Cortez Street ,60622,4867161,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
2001 W ROSCOE ST ,1162359.24311,1922434.53851,3325,purple_binder_early_childhood.csv, North Avenue Day Nursery,2001 W Pierce Street ,60622,3424499,,,,,,,,,,,,,,,,,,,,,,,,,,Early Head Start
4520 W WILCOX ST ,1146168.28647,1899020.42484,3179,purple_binder_early_childhood.csv, Hull House Association - Uptown West,4520 N Beacon Street ,60640,5613500,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1333 W GEORGE ST ,1166767.75695,1919294.14933,3268,purple_binder_early_childhood.csv, St Augustine College - Canillatas School,1333 W Argyle Street ,60640,8783231,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1718 S MORGAN ST ,1170085.58613,1891757.02279,3316,purple_binder_early_childhood.csv, El Hogar Del Nino,1718 S Loomis Street ,60608,5639796,,,,,,,,,,,,,,,,,,,,,,,,,,Early Head Start
2401 S LAFLIN ST ,1166925.35258,1888099.82371,3166,purple_binder_early_childhood.csv, Henry Booth House - Hilliard Head Start,2401 S Wabash Street ,60616,6639450,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
160 N LA SALLE ST ,1174970.24325,1901401.44563,254,CPS_Early_Childhood_Portal_scrape.csv," Early Child Care Services,Inc.",160 N. LaSalle N. 201 ,,8144782,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
6225 S NEENAH AVE ,1133888.60545,1862430.98884,158,CPS_Early_Childhood_Portal_scrape.csv, Centers For New Horizons - Washington Park South Learning Center,6225 S Wabash Ave ,,6672065,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
3801 N ALBANY AVE ,1155114.8736,1925149.52279,1273,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - St. Thomas,3801 S Wabash Ave ,,2850617,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
4301 S KARLOV AVE ,1149800.36315,1875774.64624,1278,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - Maggie Drummond Day Care,4301 S Wabash Ave ,,3738200,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
2929 N ALBANY AVE ,1155277.48479,1919445.48884,674,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Near South / Henry Booth,2929 S Wabash Ave ,,7910424,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1814 N BURLING ST ,1170920.86236,1912116.08452,1248,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
8130 S HARPER AVE ,1187819.51518,1851233.92094,858,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - New Pisgah,8130 S Racine Ave ,,8735392,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1145 N WALLER AVE ,1138199.35931,1907259.96106,21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
4526 N ALBANY AVE ,1154816.85945,1930050.74192,130,CPS_Early_Childhood_Portal_scrape.csv, St. Paul Church of God - Chaney Ford Child Care Center,4526 S Wabash Ave ,,2858721,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1449 N LINDER AVE ,1139481.41783,1909301.58452,570,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
6225 S MENARD AVE ,1138890.36561,1862561.58452,1295,CPS_Early_Childhood_Portal_scrape.csv, Centers For New Horizons - Washington Park South Learning Center,6225 S Wabash Ave ,,6672065,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
4301 S SAWYER AVE ,1155475.57969,1875913.61229,125,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - Maggie Drummond Day Care,4301 S Wabash Ave ,,3738200,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
4800 S JUSTINE ST ,1166718.44311,1872789.63851,137,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Joseph,4800 S Paulina St ,,9272524,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
4511 S ALBANY AVE ,1156523.1121,1874502.96106,2846,ECE Chicago Find a School scrape.csv, Woodson South,4511 S. Evans Ave ,60653,5351280,,,,,,Grand Boulevard,,,,,,,,,,,,,HS-FD,,,,,,,
1449 W FOSTER AVE ,1165516.31825,1934551.0876,1241,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1312 S WABASH AVE ,1176854.04311,1894305.13851,28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
4301 N ALBANY AVE ,1155016.25228,1928467.68019,739,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - Maggie Drummond Day Care,4301 S Wabash Ave ,,3738200,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
6245 N ALBANY AVE ,1154638.65161,1941462.7697,159,CPS_Early_Childhood_Portal_scrape.csv, Boys and Girls Clubs of Chicago - Yancey,6245 S Wabash Ave ,,3634733,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
9129 S DREXEL AVE ,1184227.64591,1844516.52279,882,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Guadalupe,9129 S Burley Ave ,,9785320,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
6225 S TALMAN AVE ,1159853.36555,1863157.20797,805,CPS_Early_Childhood_Portal_scrape.csv, Centers For New Horizons - Washington Park South Learning Center,6225 S Wabash Ave ,,6672065,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3801 N PANAMA AVE ,1121463.63068,1924312.55057,118,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - St. Thomas,3801 S Wabash Ave ,,2850617,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
4340 S DR MARTIN LUTHER KING JR DR ,1179418.64591,1876167.30365,1051,CPS_Early_Childhood_Portal_scrape.csv, Hearst,4340 S. Lamon ,,5352376,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
9129 S BURNSIDE AVE ,1179596.25913,1844475.54398,190,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Guadalupe,9129 S Burley Ave ,,9785320,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1834 N LOWELL AVE ,1147027.96215,1912025.11229,602,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - McCormick Tribune- YMCA,1834 N Lawndale Ave ,,2352525,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1145 W WELLINGTON AVE ,1167954.28802,1919995.566,1409,chapin_dfss_providers_2011_070212.csv,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO TRUMAN COLLEGE,1145 W WILSON AVE ,60640,8784740,,,,,,,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO,UPTOWN,,,,,Judi Gibian-Mennenga,Yes,No,No,"7099PS(HS Collaboration with Childcare & PreK), 4386PS(Child",,,,,,,,,
2712 S KARLOV AVE ,1149416.19931,1885567.02279,2038,DFSS_AgencySiteLies_2012.csv,"Chicago Public Schools McCormick, Cyrus H.",2712 S Sawyer Ave. ,60623,5357252,,,,,,,Chicago Public Schools,,,,,,,,,,,www.cps.edu,Paula Cottone,Ms. Cristina Romo,,,,,,
11410 S ADA ST ,1169311.34311,1829003.73851,3036,purple_binder_early_childhood.csv, Ada S. McKinley Community Services - Roseland,11410 S Edbrooke Avenue ,60628,4681918,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
7141 S DR MARTIN LUTHER KING JR DR ,1180250.6678,1857586.35921,2534,ECE Chicago Find a School scrape.csv, Guggenheim,7141 S. Morgan ,60621,5353587,,,,,,Englewood,,,,,,,,,,,,,HS-HD,,,,,,,
9746 S DR MARTIN LUTHER KING JR DR ,1180551.00007,1840243.70797,1155,CPS_Early_Childhood_Portal_scrape.csv, Wacker,9746 S. Morgan ,,5352821,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
7424 S DR MARTIN LUTHER KING JR DR ,1180119.125,1855746.46106,2792,ECE Chicago Find a School scrape.csv, Stagg,7424 S. Morgan ,60621,5353565,,,,,,Englewood,,,,,,,,,,,,,HS-HD,,,,,,,
2318 N LOWELL AVE ,1146921.60945,1915158.74192,2544,ECE Chicago Find a School scrape.csv, Hanson Park,2318 N. Lorel ,60639,5342926,,,,,,Belmont Cragin,,,,,,,,,,,,,PFA-REG,,,,,,,
1347 W CARMEN AVE ,1166244.8264,1933944.41785,2165,DFSS_AgencySiteLies_2012.csv,Erie Neighborhood House Erie House,1347 W. Erie ,60622,6663430,,,,,,,Erie Neighborhood House,,,,,,,,,,,www.eriehouse.org,Celena Roldan,Valery Sheppard,,,,,,
3449 W 76TH ST ,1154496.57215,1854013.5876,499,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,,Early Head Start,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
3449 W 55TH ST ,1154119.85847,1867853.75736,706,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3449 W 60TH ST ,1154241.86378,1864546.4981,112,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
3449 W 74TH ST ,1154433.10576,1855246.19563,707,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3449 W 54TH ST ,1154109.7714,1868514.46415,1198,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3449 W 59TH ST ,1154219.94311,1865182.53851,1269,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3210 W 66TH ST ,1156030.63516,1860768.08143,100,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - FSS of Lawndale,3210 W Arthington St ,,8677370,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
7946 S KIRKLAND AVE ,1148918.75368,1851318.38699,2501,ECE Chicago Find a School scrape.csv, Ezzard Charles,7946 S Ashland  ,60620,4870227,,,,,,Auburn Gresham,,,,,,,,,,,,,CP,,,,,,,
5611 W LAKE ST ,1138816.14311,1901931.33851,3202,purple_binder_early_childhood.csv, Lake Shore School,5611 N Clark Street ,60660,5616707,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
224 E 132ND ST ,1180191.11563,1817978.85921,475,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers Dorothy Gautreaux,975 E. 132nd Street ,,2911000,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
919 N CLEVELAND AVE ,1172866.8042,1906525.89007,1886,chapin_dfss_providers_2011_070212.csv,"TRINITY RESOURCES UNLIMITED, INC. HIGH MOUNTAIN",919 N LAVERGNE ,60651,6263997,,,,,,,"TRINITY RESOURCES UNLIMITED, INC.",AUSTIN,,,,,Marion Hayes,Yes,No,No,,,,,,,,,,
3901 W LAKE ST ,1150176.99805,1901195.24192,3130,purple_binder_early_childhood.csv, Dawson Technical Institute,3901 S State Street ,60609,4512000,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3555 W 83RD ST ,1153907.61611,1849237.25118,3271,purple_binder_early_childhood.csv, St. Timothy Day Care Center,3555 W Huron Street ,60624,8541662,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3713 W 63RD ST ,1152637.14311,1862476.33851,2951,NAEYC_accreditation.csv, Metropolitan Family Services Midway Children's Center,3215 West 63rd Street  ,60629,8842350,,,,,,,,,,,,,,,,,,http://www.metrofamily.org,,,,08/01/16,722978,valdiviG@metrofamily.org,,
2126 W 19TH ST ,1162358.27511,1890802.30674,2881,NAEYC_accreditation.csv, Carole Robertson Center For Learning,2929 West 19th Street  ,60623,5211600,,,,,,,,,,,,,,,,,,http://www.crcl.net,,,,09/01/15,486936,walkerr@crcl.net,,
164 E 111TH ST ,1179421.84931,1831503.23884,2880,NAEYC_accreditation.csv, C.Y.C. Roseland Head Start,461 East 111th Street  ,60628,4684405,,,,,,,,,,,,,,,,,,http://chicagoyouthcenters.org,,,,11/01/16,274894,leola.clay@chicagoyouthcenters.org,,
850 W CASTLEWOOD TER ,1169457.73146,1932792.66476,2418,ECE Chicago Find a School scrape.csv, Christopher House Eastwood,850 W. Eastwood ,60640,2719403,,,,,,Uptown,,,,,,,,,,,,,CP,,,,,,,
1850 N NEW ENGLAND AVE ,1130045.75046,1911755.33143,965,CPS_Early_Childhood_Portal_scrape.csv, Sayre Lang Acad,1850 N. Newland ,,5343351,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
1630 W WALTER BURLEY GRIFFIN PL ,1167187.75105,1835514.74501,2350,ECE Chicago Find a School scrape.csv, Burley,1630 W. Barry ,60657,5345475,,,,,,Lake View,,,,,,,,,,,,,PFA-REG,,,,,,,
7411 S DANTE AVE ,1187228.98037,1856055.39933,2930,NAEYC_accreditation.csv," Itsy Bitsy People Palace ,Inc.",7411 South Cottage Grove Ave. Ground Floor ,60619,8467396,,,,,,,,,,,,,,,,,,,,,,04/30/13,486831,info@itsybitsypeoplepalace.com,,
7130 S CHAMPLAIN AVE ,1181726.55523,1857740.80365,437,CPS_Early_Childhood_Portal_scrape.csv, Archdiocese of Chicago - Queen of the Universe,7130 S. Hamlin ,,5824266,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
3701 N OKETO AVE ,1126177.71975,1923618.08452,3062,purple_binder_early_childhood.csv, Carole Robertson Center for Learning,3701 W Ogden Avenue ,60623,5228400,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
6456 S LAMON AVE ,1144756.22752,1861130.7697,3284,purple_binder_early_childhood.csv, Woodlawn AME,6456 S Evans Avenue ,60637,6671400,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3003 S KOLIN AVE ,1147940.89591,1884290.96106,3315,purple_binder_early_childhood.csv, Diversey Day Care,3003 W Touhy Avenue ,60647,3427777,,,,,,,,,,,,,,,,,,,,,,,,,,Early Head Start
3003 S HOMAN AVE ,1154236.71176,1884461.61847,3046,purple_binder_early_childhood.csv, Bernard Horwich Jewish Community Center,3003 W Touhy Avenue ,60645,7619100,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
7750 S HOMAN AVE ,1154981.0074,1852810.83143,3162,purple_binder_early_childhood.csv, Happy Child Day Center,7750 W Devon Avenue ,60631,7757969,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
6924 W GRAND AVE ,1129752.64311,1915303.53851,3156,purple_binder_early_childhood.csv, Fresh Start Day Care,6924 W North Avenue ,60707,4792870,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
125 S WALLER AVE ,1138277.50828,1898774.14007,1336,IDHS_child_care_provider_list.csv, Children's Home & Aid Society of Illinois,125 South Wacker Drive 14th Floor,60606,4240200,"(312)
424-6200",,,4277-4401-5433-006,,,,,,,,,,,,,,,,,,,,,,
3249 N OPAL AVE ,1123294.07121,1920908.52279,1833,chapin_dfss_providers_2011_070212.csv,METROPOLITAN FAMILY SERVICES NORTH CHILDREN'S CENTER,3249 N CENTRAL AVE ,60634,,,,,,,,METROPOLITAN FAMILY SERVICES,PORTAGE PARK,,,,,Dawn Delgado,Yes,No,Yes,"4329IT(Child Care IT Center), 4330PS(HS Collaboration with C",,,,,,,,,
1754 N NEVA AVE ,1128219.93358,1911075.64624,599,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - Rogers Park / LSSI,1754 W Devon Ave ,,2623366,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
8316 S LUELLA AVE ,1192554.11381,1850176.64624,1880,chapin_dfss_providers_2011_070212.csv,SOUTH CENTRAL COMMUNITY SERVICES SOUTH CENTRAL COMMUNITY SERVICE,8316 S ELLIS AVE ,60619,4830900,,,,,,,SOUTH CENTRAL COMMUNITY SERVICES,CHATHAM,,,,,Marsha Hightower,Yes,No,No,,,,,,,,,,
9755 S GREEN ST ,1172447.75272,1839868.14624,1156,CPS_Early_Childhood_Portal_scrape.csv, Schmid,9755 S. Greenwood ,,5356235,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
6450 S DR MARTIN LUTHER KING JR DR ,1179661.03953,1861788.066,2595,ECE Chicago Find a School scrape.csv, Kershaw,6450 S. Lowe ,60621,5353050,,,,,,Englewood,,,,,,,,,,,,,HS-HD,,,,,,,
7050 S PRAIRIE AVE ,1179182.76349,1858125.39933,830,CPS_Early_Childhood_Portal_scrape.csv, Bond,7050 S. May ,,5353480,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,
3901 W 64TH ST ,1151420.73613,1861798.21106,2884,NAEYC_accreditation.csv, Centers for New Horizons / Ida B. Wells @ Dawson,3901 South State Steet 1st Floor ,60609,5362187,,,,,,,,,,,,,,,,,,http://www.cnh.org,,,,01/31/15,564193,ibwelc@cnh.org,,
2140 N FREMONT ST ,1169863.64311,1914595.53851,3123,purple_binder_early_childhood.csv, Christopher House Palmer Square,2140 N Richmond Street ,60647,9480010,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
8316 S ADA ST ,1168702.36323,1849531.70797,2975,NAEYC_accreditation.csv, South Central Community Services Head Start Program,8316 South Ellis Avenue Building ,60619,4830900,,,,,,,,,,,,,,,,,,http://www.sccsinc.org,,,,05/31/14,508122,blasingame@sccsinc.org,,
5120 S RIDGEWAY AVE ,1152164.47898,1870290.05057,3266,purple_binder_early_childhood.csv, South-East Asia Center,5120 N Broadway Avenue ,60640,9896927,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
4848 W WINNEMAC AVE ,1142923.36504,1933206.93637,3215,purple_binder_early_childhood.csv, Lutheran Social Services - Winthrop Children's Center,4848 N Winthrop Avenue ,60640,8783210,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1425 S TRIPP AVE ,1148358.44311,1892748.33851,947,CPS_Early_Childhood_Portal_scrape.csv, West Park Acad,1425 N. Tripp ,,5344940,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
5900 N INDIAN RD ,1138809.77985,1938583.10612,2695,ECE Chicago Find a School scrape.csv, Norwood Park,5900 N. Nina ,60631,5341198,,,,,,Norwood Park,,,,,,,,,,,,,PFA-REG,,,,,,,
3434 W NORTH AVE ,1153062.23974,1910516.00736,1022,CPS_Early_Childhood_Portal_scrape.csv," Hampton, Lionel",3434 W. 77th ,,5354030,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
1840 W SCHOOL ST ,1163204.33332,1922076.54439,963,CPS_Early_Childhood_Portal_scrape.csv, Talcott,1840 W. Ohio ,,5347130,,Prekindergarten For All,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,
2233 W SCHOOL ST ,1160757.94311,1921796.53851,2661,ECE Chicago Find a School scrape.csv, Mitchell,2233 W. Ohio ,60612,5347655,,,,,,West Town,,,,,,,,,,,,,PFA-REG,,,,,,,
1834 N LINCOLN AVE ,1174160.54311,1912664.13851,55,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - McCormick Tribune- YMCA,1834 N Lawndale Ave ,,2352525,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
4014 W ARMITAGE AVE ,1149202.37245,1913083.57834,1863,chapin_dfss_providers_2011_070212.csv,SALVATION ARMY ALL THINGS ARE POSIBLE,4014 W CHICAGO AVE ,60651,4892464,,,,,,,SALVATION ARMY,HUMBOLDT PARK,,,,,Shelandria Galsper,Yes,No,No,,,,,,,,,,
1701 W CULLERTON ST ,1165310.92153,1890389.34995,589,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3030 W GUNNISON ST ,1155144.59436,1932140.43019,1008,CPS_Early_Childhood_Portal_scrape.csv, Miller,3030 W. Harrison St ,,5346594,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
850 N MAPLEWOOD AVE ,1159143.85531,1905806.18019,186,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Lakeshore,850 W Eastwood Ave ,,2719403,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1501 N PARKSIDE AVE ,1138478.50027,1909460.7697,574,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
7638 W PALATINE AVE ,1124253.63732,1941295.75736,849,CPS_Early_Childhood_Portal_scrape.csv, Howard Area Community Center - Howard Area,7638 N Paulina Ave ,,3813652,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
4920 W GUNNISON ST ,1142585.74311,1931862.53851,2628,ECE Chicago Find a School scrape.csv, Lutheran Family Mission Fam Cnt,4920 W Madison ,60644,9214960,,,,,,Austin,,,,,,,,,,,,,CP,,,,,,,
5332 S KOSTNER AVE ,1147864.81486,1868749.05057,1438,chapin_dfss_providers_2011_070212.csv,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO GRACE MISSION,5332 S WESTERN ,60609,4761990,,,,,,,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,GAGE PARK,,,,,Francine Johnson,Yes,No,Yes,"3416PS(HS Collaboration with Childcare & PreK), 2711PS(Child",,,,,,,,,
2141 S CENTRAL PARK AVE ,1152779.14311,1889387.76898,1181,CPS_Early_Childhood_Portal_scrape.csv, Chinese American Service League - Chinese American Service League,2141 S Tan Ct ,,7910418,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1900 S MAY ST ,1169025.76247,1891028.08452,3218,purple_binder_early_childhood.csv, Malcolm X College,1900 W Van Buren Street ,60612,8507300,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
8358 S MAY ST ,1170015.34801,1849146.14779,3263,purple_binder_early_childhood.csv, South Harper Montessori Preschool,8358 S Stony Island Avenue ,60617,7343120,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
6330 S MAY ST ,1169669.6664,1862683.80365,3297,purple_binder_early_childhood.csv, YMCA South Side,6330 S Stony Island Avenue ,60637,9470700,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3815 N KENMORE AVE ,1168668.76031,1925691.96106,2463,ECE Chicago Find a School scrape.csv, Disney Magnet,3815 N. Kedvale Ave. ,60613,5345840,,,,,,Uptown,,,,,,,,,,,,,PFA-REG,,,,,,,
5114 S ADA ST ,1168135.48431,1870757.77587,2979,NAEYC_accreditation.csv, St. John Of God,5114 South Elizabeth 1st Floor ,60609,9242232,,,,,,,,,,,,,,,,,,,,,,11/01/15,725529,snewsome@catholiccharities.net,,
8601 S ADA ST ,1168905.04382,1847692.64624,188,CPS_Early_Childhood_Portal_scrape.csv, Dorothy Sutton Branch - Dorothy Sutton Branch,8601 S State St ,,7234445,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
5610 S BLACKSTONE AVE ,1186790.388,1868080.43328,2230,DFSS_AgencySiteLies_2012.csv,Marcy Newberry Association Austin Town Hall,5610 W. Lake ,60644,2611505,,,,,,,Marcy Newberry Association,,,,,,,,,,,www.marcy-newberry.org,Gertrude Ricks,Marsha Ballenger,,,,,,
245 W 31ST ST ,1174992.14591,1884361.45797,984,CPS_Early_Childhood_Portal_scrape.csv, Parkman,245 W. 51St. St. ,,5351739,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
4650 S CALIFORNIA AVE ,1158429.18245,1873482.42711,1773,chapin_dfss_providers_2011_070212.csv,HOME OF LIFE COMMUNITY DEV. CORP. HLCDC DEV. II,4650 W MADISON ,60644,6268655,,,,,,,HOME OF LIFE COMMUNITY DEV. CORP.,AUSTIN,,,,,Dorietta Sceanior,Yes,No,Yes,"2114IT(Child Care IT Center), 7199PS(HS Collaboration with C",,,,,,,,,
7801 S WINCHESTER AVE ,1164781.86441,1852896.08452,1753,chapin_dfss_providers_2011_070212.csv,HENRY BOOTH HOUSE LITTLE HANDS & FEET,7801 S WOLCOTT ,60620,9948561,,,,,,,HENRY BOOTH HOUSE,AUBURN GRESHAM,,,,,Ms.  Doyle,Yes,No,No,,,,,,,,,,
11439 S MAY ST ,1170795.8355,1828770.68019,1909,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services Little Genius",11439 S Michigan Ave. ,60628,6298091,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Vera Webbs,,,,,,
